,RN,RY,DN,DY,total
commitments,0.0,0.0280898876404,0.0103092783505,0.0,13.0
weapons,0.0,0.00561797752809,0.00687285223368,0.0,4.0
caucus,0.0,0.00561797752809,0.0171821305842,0.0,7.0
cities,0.0,0.0168539325843,0.020618556701,0.0,12.0
reaction,0.0,0.00280898876404,0.00343642611684,0.0227272727273,3.0
successes,0.0,0.00280898876404,0.00687285223368,0.0,3.0
region,0.0,0.00280898876404,0.0103092783505,0.0227272727273,5.0
contract,0.0,0.0224719101124,0.0137457044674,0.0,12.0
senator,0.0,0.0196629213483,0.0,0.0,7.0
duty,0.0,0.0252808988764,0.0446735395189,0.0,22.0
color,0.0,0.00561797752809,0.020618556701,0.0,8.0
insist,0.0,0.00842696629213,0.00687285223368,0.0,5.0
60,0.0,0.0252808988764,0.020618556701,0.0227272727273,16.0
62,0.0,0.00561797752809,0.0,0.0,2.0
63,0.0,0.0140449438202,0.00343642611684,0.0,6.0
67,0.0,0.00280898876404,0.00343642611684,0.0,2.0
68,0.0,0.0112359550562,0.0,0.0,4.0
poll,0.0,0.00561797752809,0.0103092783505,0.0,5.0
deposited,0.0,0.00280898876404,0.00343642611684,0.0,2.0
prioritieslt,0.0,0.00561797752809,0.0,0.0,2.0
hardly,0.0,0.00280898876404,0.00343642611684,0.0,2.0
direction,0.0,0.0337078651685,0.0343642611684,0.0454545454545,24.0
blessing,0.0,0.00561797752809,0.0,0.0,2.0
surreptitiously,0.0,0.00561797752809,0.0,0.0,2.0
minister,0.0,0.00561797752809,0.0171821305842,0.0,7.0
irrelevant,0.0,0.00842696629213,0.00343642611684,0.0,4.0
spirit,0.0,0.0252808988764,0.0343642611684,0.0454545454545,21.0
limits,0.0,0.00842696629213,0.0274914089347,0.0,11.0
amend,0.0,0.00561797752809,0.0618556701031,0.0,20.0
cash,0.0,0.00842696629213,0.020618556701,0.0,9.0
minds,0.0,0.00280898876404,0.00687285223368,0.0227272727273,4.0
author,0.0,0.0168539325843,0.00687285223368,0.0,8.0
granted,0.0,0.0140449438202,0.00343642611684,0.0,6.0
grantee,0.0,0.0112359550562,0.0171821305842,0.0,9.0
events,0.0,0.0196629213483,0.00687285223368,0.0227272727273,10.0
week,0.0,0.061797752809,0.103092783505,0.0,52.0
applaud,0.0,0.0140449438202,0.00687285223368,0.0227272727273,8.0
drives,0.0,0.0112359550562,0.00343642611684,0.0,5.0
producers,0.0,0.00842696629213,0.0,0.0,3.0
persons,0.0,0.00280898876404,0.0240549828179,0.0,8.0
reforand,0.0,0.00842696629213,0.0,0.0,3.0
changing,0.0,0.00842696629213,0.0240549828179,0.0454545454545,12.0
pennsylvania,0.0,0.0814606741573,0.0549828178694,0.0227272727273,46.0
relief,0.0,0.0308988764045,0.0652920962199,0.0227272727273,31.0
components,0.0,0.00561797752809,0.00343642611684,0.0,3.0
